yt,mu_t
0.6762,1.5138536921667167
3.0233,1.9216399887145936
4.6574,2.660722549953381
2.8416,2.7095877166709776
2.1978,2.571325085852709
1.1459,2.1862376443519302
1.6478,2.040775370024722
1.489,1.8917098262547694
1.2585,1.72064425827388
2.4157,1.9084178844982433
3.1367,2.240245927931885
3.7711,2.653815664970085
1.8246,2.4297979020971416
2.4722,2.4412530922419884
1.861,2.284494114915086
1.3226,2.0246324446079997
1.2434,1.8135776467814797
1.6485,1.76898089506231
4.3189,2.4578573810314057
1.3671,2.1631824989009276
5.5476,3.0775039103899435
1.3963,2.6233162305752042
0.4982,2.049202879936063
0.6758,1.678169560518932
0.4957,1.3587180633956115
1.5065,1.3986422715717084
1.4978,1.4254303478616928
1.3344,1.40083793391802
1.2167,1.3510919272288568
1.2679,1.3286171113104075
1.3033,1.3217775364232551
3.8509,2.0050356805426244
1.05,1.7470268588849729
3.1512,2.1263729555005138
2.6406,2.2652945858844453
3.3868,2.5682762401554413
1.5142,2.2835109960911435
2.069,2.2255595179823473
1.6506,2.070230632624691
28.1534,9.11676086252127
5.6816,8.1887308167328
3.4632,6.912099312201558
3.073,5.874942785018157
1.8359,4.783770286630163
9.9087,6.16830188410258
3.7128,5.504932796849746
1.7533,4.4914058921194036
3.0946,4.114050103584435
2.5901,3.702345516518667
1.1785,3.020512972426755
3.0513,3.0288302791707307
4.8249,3.5140496712073244
